yr,resid_curr,resid_regis,pop_mig
2004,Anhui,Beijing,1367
2005,Anhui,Beijing,1496
2006,Anhui,Beijing,1705
2007,Anhui,Beijing,1930
2008,Anhui,Beijing,2180
2009,Anhui,Beijing,2403
2010,Anhui,Beijing,2748
2011,Anhui,Beijing,4664
2012,Anhui,Beijing,7330
2013,Anhui,Beijing,10522
2014,Anhui,Beijing,14375
2004,Anhui,Tianjin,273
2005,Anhui,Tianjin,299
2006,Anhui,Tianjin,520
2007,Anhui,Tianjin,772
2008,Anhui,Tianjin,1064
2009,Anhui,Tianjin,1366
2010,Anhui,Tianjin,1766
2011,Anhui,Tianjin,2399
2012,Anhui,Tianjin,3277
2013,Anhui,Tianjin,4268
2014,Anhui,Tianjin,5427
2004,Anhui,Hebei,4784
2005,Anhui,Hebei,5237
2006,Anhui,Hebei,6526
2007,Anhui,Hebei,7957
2008,Anhui,Hebei,9584
2009,Anhui,Hebei,11163
2010,Anhui,Hebei,13400
2011,Anhui,Hebei,15517
2012,Anhui,Hebei,18429
2013,Anhui,Hebei,21182
2014,Anhui,Hebei,24056
2004,Anhui,Shanxi,3964
2005,Anhui,Shanxi,4339
2006,Anhui,Shanxi,4590
2007,Anhui,Shanxi,4825
2008,Anhui,Shanxi,5070
2009,Anhui,Shanxi,5202
2010,Anhui,Shanxi,5541
2011,Anhui,Shanxi,7353
2012,Anhui,Shanxi,9865
2013,Anhui,Shanxi,12664
2014,Anhui,Shanxi,15915
2004,Anhui,Neimenggu,2734
2005,Anhui,Neimenggu,2993
2006,Anhui,Neimenggu,3043
2007,Anhui,Neimenggu,3061
2008,Anhui,Neimenggu,3064
2009,Anhui,Neimenggu,2977
2010,Anhui,Neimenggu,2983
2011,Anhui,Neimenggu,3293
2012,Anhui,Neimenggu,3716
2013,Anhui,Neimenggu,4043
2014,Anhui,Neimenggu,4327
2004,Anhui,Liaoning,2734
2005,Anhui,Liaoning,2993
2006,Anhui,Liaoning,3296
2007,Anhui,Liaoning,3608
2008,Anhui,Liaoning,3953
2009,Anhui,Liaoning,4230
2010,Anhui,Liaoning,4704
2011,Anhui,Liaoning,5733
2012,Anhui,Liaoning,7155
2013,Anhui,Liaoning,8629
2014,Anhui,Liaoning,10268
2004,Anhui,Jilin,4511
2005,Anhui,Jilin,4938
2006,Anhui,Jilin,4968
2007,Anhui,Jilin,4939
2008,Anhui,Jilin,4874
2009,Anhui,Jilin,4656
2010,Anhui,Jilin,4569
2011,Anhui,Jilin,5603
2012,Anhui,Jilin,7033
2013,Anhui,Jilin,8526
2014,Anhui,Jilin,10195
2004,Anhui,Heilongjiang,5468
2005,Anhui,Heilongjiang,5985
2006,Anhui,Heilongjiang,6082
2007,Anhui,Heilongjiang,6117
2008,Anhui,Heilongjiang,6120
2009,Anhui,Heilongjiang,5942
2010,Anhui,Heilongjiang,5949
2011,Anhui,Heilongjiang,6352
2012,Anhui,Heilongjiang,6896
2013,Anhui,Heilongjiang,7167
2014,Anhui,Heilongjiang,7261
2004,Anhui,Shanghai,6971
2005,Anhui,Shanghai,7631
2006,Anhui,Shanghai,8559
2007,Anhui,Shanghai,9538
2008,Anhui,Shanghai,10627
2009,Anhui,Shanghai,11559
2010,Anhui,Shanghai,13057
2011,Anhui,Shanghai,24860
2012,Anhui,Shanghai,41304
2013,Anhui,Shanghai,61261
2014,Anhui,Shanghai,85518
2004,Anhui,Jiangsu,51672
2005,Anhui,Jiangsu,56562
2006,Anhui,Jiangsu,59785
2007,Anhui,Jiangsu,62797
2008,Anhui,Jiangsu,65935
2009,Anhui,Jiangsu,67581
2010,Anhui,Jiangsu,71919
2011,Anhui,Jiangsu,86911
2012,Anhui,Jiangsu,107614
2013,Anhui,Jiangsu,128834
2014,Anhui,Jiangsu,152260
2004,Anhui,Zhejiang,24469
2005,Anhui,Zhejiang,26785
2006,Anhui,Zhejiang,28981
2007,Anhui,Zhejiang,31186
2008,Anhui,Zhejiang,33575
2009,Anhui,Zhejiang,35318
2010,Anhui,Zhejiang,38613
2011,Anhui,Zhejiang,51512
2012,Anhui,Zhejiang,69401
2013,Anhui,Zhejiang,89395
2014,Anhui,Zhejiang,112655
2004,Anhui,Fujian,8339
2005,Anhui,Fujian,9128
2006,Anhui,Fujian,10607
2007,Anhui,Fujian,12210
2008,Anhui,Fujian,14011
2009,Anhui,Fujian,15659
2010,Anhui,Fujian,18137
2011,Anhui,Fujian,20830
2012,Anhui,Fujian,24531
2013,Anhui,Fujian,27953
2014,Anhui,Fujian,31464
2004,Anhui,Jiangxi,18865
2005,Anhui,Jiangxi,20650
2006,Anhui,Jiangxi,21659
2007,Anhui,Jiangxi,22562
2008,Anhui,Jiangxi,23481
2009,Anhui,Jiangxi,23840
2010,Anhui,Jiangxi,25112
2011,Anhui,Jiangxi,28795
2012,Anhui,Jiangxi,33855
2013,Anhui,Jiangxi,38512
2014,Anhui,Jiangxi,43272
2004,Anhui,Shandong,11756
2005,Anhui,Shandong,12869
2006,Anhui,Shandong,14374
2007,Anhui,Shandong,15957
2008,Anhui,Shandong,17712
2009,Anhui,Shandong,19199
2010,Anhui,Shandong,21616
2011,Anhui,Shandong,24224
2012,Anhui,Shandong,27794
2013,Anhui,Shandong,30805
2014,Anhui,Shandong,33664
2004,Anhui,Henan,35816
2005,Anhui,Henan,39205
2006,Anhui,Henan,43037
2007,Anhui,Henan,46984
2008,Anhui,Henan,51315
2009,Anhui,Henan,54758
2010,Anhui,Henan,60726
2011,Anhui,Henan,65319
2012,Anhui,Henan,71532
2013,Anhui,Henan,75145
2014,Anhui,Henan,77157
2004,Anhui,Hubei,17497
2005,Anhui,Hubei,19153
2006,Anhui,Hubei,21104
2007,Anhui,Hubei,23124
2008,Anhui,Hubei,25346
2009,Anhui,Hubei,27141
2010,Anhui,Hubei,30203
2011,Anhui,Hubei,33405
2012,Anhui,Hubei,37778
2013,Anhui,Hubei,41203
2014,Anhui,Hubei,44226
2004,Anhui,Hunan,10253
2005,Anhui,Hunan,11223
2006,Anhui,Hunan,12758
2007,Anhui,Hunan,14397
2008,Anhui,Hunan,16228
2009,Anhui,Hunan,17845
2010,Anhui,Hunan,20365
2011,Anhui,Hunan,22736
2012,Anhui,Hunan,25981
2013,Anhui,Hunan,28666
2014,Anhui,Hunan,31171
2004,Anhui,Guangdong,4238
2005,Anhui,Guangdong,4639
2006,Anhui,Guangdong,5213
2007,Anhui,Guangdong,5821
2008,Anhui,Guangdong,6496
2009,Anhui,Guangdong,7077
2010,Anhui,Guangdong,8007
2011,Anhui,Guangdong,11033
2012,Anhui,Guangdong,15232
2013,Anhui,Guangdong,20001
2014,Anhui,Guangdong,25597
2004,Anhui,Guangxi,3281
2005,Anhui,Guangxi,3591
2006,Anhui,Guangxi,3870
2007,Anhui,Guangxi,4148
2008,Anhui,Guangxi,4448
2009,Anhui,Guangxi,4660
2010,Anhui,Guangxi,5074
2011,Anhui,Guangxi,5931
2012,Anhui,Guangxi,7110
2013,Anhui,Guangxi,8251
2014,Anhui,Guangxi,9461
2004,Anhui,Hainan,956
2005,Anhui,Hainan,1047
2006,Anhui,Hainan,1121
2007,Anhui,Hainan,1193
2008,Anhui,Hainan,1270
2009,Anhui,Hainan,1321
2010,Anhui,Hainan,1427
2011,Anhui,Hainan,1952
2012,Anhui,Hainan,2682
2013,Anhui,Hainan,3507
2014,Anhui,Hainan,4474
2004,Anhui,Chongqing,5605
2005,Anhui,Chongqing,6135
2006,Anhui,Chongqing,6832
2007,Anhui,Chongqing,7563
2008,Anhui,Chongqing,8373
2009,Anhui,Chongqing,9052
2010,Anhui,Chongqing,10167
2011,Anhui,Chongqing,10808
2012,Anhui,Chongqing,11669
2013,Anhui,Chongqing,12047
2014,Anhui,Chongqing,12102
2004,Anhui,Sichuan,15994
2005,Anhui,Sichuan,17507
2006,Anhui,Sichuan,19280
2007,Anhui,Sichuan,21116
2008,Anhui,Sichuan,23134
2009,Anhui,Sichuan,24761
2010,Anhui,Sichuan,27542
2011,Anhui,Sichuan,28070
2012,Anhui,Sichuan,28716
2013,Anhui,Sichuan,27596
2014,Anhui,Sichuan,25083
2004,Anhui,Guizhou,13396
2005,Anhui,Guizhou,14664
2006,Anhui,Guizhou,15796
2007,Anhui,Guizhou,16922
2008,Anhui,Guizhou,18135
2009,Anhui,Guizhou,18989
2010,Anhui,Guizhou,20663
2011,Anhui,Guizhou,20201
2012,Anhui,Guizhou,19486
2013,Anhui,Guizhou,17124
2014,Anhui,Guizhou,13348
2004,Anhui,Yunnan,12850
2005,Anhui,Yunnan,14066
2006,Anhui,Yunnan,14875
2007,Anhui,Yunnan,15633
2008,Anhui,Yunnan,16424
2009,Anhui,Yunnan,16845
2010,Anhui,Yunnan,17938
2011,Anhui,Yunnan,18020
2012,Anhui,Yunnan,18075
2013,Anhui,Yunnan,16882
2014,Anhui,Yunnan,14669
2004,Anhui,Tibet,410
2005,Anhui,Tibet,449
2006,Anhui,Tibet,457
2007,Anhui,Tibet,460
2008,Anhui,Tibet,460
2009,Anhui,Tibet,448
2010,Anhui,Tibet,449
2011,Anhui,Tibet,497
2012,Anhui,Tibet,563
2013,Anhui,Tibet,614
2014,Anhui,Tibet,660
2004,Anhui,Shaanxi,5742
2005,Anhui,Shaanxi,6285
2006,Anhui,Shaanxi,6927
2007,Anhui,Shaanxi,7591
2008,Anhui,Shaanxi,8323
2009,Anhui,Shaanxi,8914
2010,Anhui,Shaanxi,9922
2011,Anhui,Shaanxi,10524
2012,Anhui,Shaanxi,11332
2013,Anhui,Shaanxi,11660
2014,Anhui,Shaanxi,11662
2004,Anhui,Gansu,2324
2005,Anhui,Gansu,2544
2006,Anhui,Gansu,2807
2007,Anhui,Gansu,3079
2008,Anhui,Gansu,3380
2009,Anhui,Gansu,3623
2010,Anhui,Gansu,4037
2011,Anhui,Gansu,4826
2012,Anhui,Gansu,5916
2013,Anhui,Gansu,7014
2014,Anhui,Gansu,8214
2004,Anhui,Qinghai,683
2005,Anhui,Qinghai,748
2006,Anhui,Qinghai,916
2007,Anhui,Qinghai,1102
2008,Anhui,Qinghai,1313
2009,Anhui,Qinghai,1516
2010,Anhui,Qinghai,1806
2011,Anhui,Qinghai,1755
2012,Anhui,Qinghai,1678
2013,Anhui,Qinghai,1453
2014,Anhui,Qinghai,1100
2004,Anhui,Ningxia,0
2005,Anhui,Ningxia,0
2006,Anhui,Ningxia,85
2007,Anhui,Ningxia,185
2008,Anhui,Ningxia,300
2009,Anhui,Ningxia,423
2010,Anhui,Ningxia,581
2011,Anhui,Ningxia,728
2012,Anhui,Ningxia,931
2013,Anhui,Ningxia,1148
2014,Anhui,Ningxia,1394
2004,Anhui,Xinjiang,1231
2005,Anhui,Xinjiang,1347
2006,Anhui,Xinjiang,1457
2007,Anhui,Xinjiang,1568
2008,Anhui,Xinjiang,1689
2009,Anhui,Xinjiang,1776
2010,Anhui,Xinjiang,1942
2011,Anhui,Xinjiang,3037
2012,Anhui,Xinjiang,4559
2013,Anhui,Xinjiang,6356
2014,Anhui,Xinjiang,8508
2004,Beijing,Tianjin,37273
2005,Beijing,Tianjin,40551
2006,Beijing,Tianjin,46118
2007,Beijing,Tianjin,52079
2008,Beijing,Tianjin,58748
2009,Beijing,Tianjin,64657
2010,Beijing,Tianjin,73855
2011,Beijing,Tianjin,75634
2012,Beijing,Tianjin,81454
2013,Beijing,Tianjin,86387
2014,Beijing,Tianjin,91679
2004,Beijing,Hebei,751798
2005,Beijing,Hebei,817910
2006,Beijing,Hebei,914805
2007,Beijing,Hebei,1017272
2008,Beijing,Hebei,1131308
2009,Beijing,Hebei,1228758
2010,Beijing,Hebei,1386420
2011,Beijing,Hebei,1347369
2012,Beijing,Hebei,1382931
2013,Beijing,Hebei,1403095
2014,Beijing,Hebei,1429158
2004,Beijing,Shanxi,117735
2005,Beijing,Shanxi,128088
2006,Beijing,Shanxi,146493
2007,Beijing,Shanxi,166268
2008,Beijing,Shanxi,188421
2009,Beijing,Shanxi,208242
2010,Beijing,Shanxi,238780
2011,Beijing,Shanxi,241740
2012,Beijing,Shanxi,257714
2013,Beijing,Shanxi,270873
2014,Beijing,Shanxi,285157
2004,Beijing,Neimenggu,138641
2005,Beijing,Neimenggu,150833
2006,Beijing,Neimenggu,161882
2007,Beijing,Neimenggu,172909
2008,Beijing,Neimenggu,184873
2009,Beijing,Neimenggu,193218
2010,Beijing,Neimenggu,209951
2011,Beijing,Neimenggu,198633
2012,Beijing,Neimenggu,198522
2013,Beijing,Neimenggu,196171
2014,Beijing,Neimenggu,194652
2004,Beijing,Liaoning,130251
2005,Beijing,Liaoning,141705
2006,Beijing,Liaoning,155540
2007,Beijing,Liaoning,169885
2008,Beijing,Liaoning,185717
2009,Beijing,Liaoning,198433
2010,Beijing,Liaoning,220405
2011,Beijing,Liaoning,216258
2012,Beijing,Liaoning,224008
2013,Beijing,Liaoning,229276
2014,Beijing,Liaoning,235504
2004,Beijing,Jilin,117047
2005,Beijing,Jilin,127340
2006,Beijing,Jilin,138614
2007,Beijing,Jilin,150170
2008,Beijing,Jilin,162858
2009,Beijing,Jilin,172650
2010,Beijing,Jilin,190299
2011,Beijing,Jilin,179684
2012,Beijing,Jilin,179221
2013,Beijing,Jilin,176733
2014,Beijing,Jilin,174996
2004,Beijing,Heilongjiang,219652
2005,Beijing,Heilongjiang,238968
2006,Beijing,Heilongjiang,260352
2007,Beijing,Heilongjiang,282299
2008,Beijing,Heilongjiang,306412
2009,Beijing,Heilongjiang,325109
2010,Beijing,Heilongjiang,358640
2011,Beijing,Heilongjiang,346069
2012,Beijing,Heilongjiang,352756
2013,Beijing,Heilongjiang,355503
2014,Beijing,Heilongjiang,359747
2004,Beijing,Shanghai,9628
2005,Beijing,Shanghai,10475
2006,Beijing,Shanghai,11488
2007,Beijing,Shanghai,12536
2008,Beijing,Shanghai,13693
2009,Beijing,Shanghai,14619
2010,Beijing,Shanghai,16225
2011,Beijing,Shanghai,16168
2012,Beijing,Shanghai,16991
2013,Beijing,Shanghai,17627
2014,Beijing,Shanghai,18336
2004,Beijing,Jiangsu,153220
2005,Beijing,Jiangsu,166694
2006,Beijing,Jiangsu,170161
2007,Beijing,Jiangsu,172259
2008,Beijing,Jiangsu,173859
2009,Beijing,Jiangsu,170740
2010,Beijing,Jiangsu,173409
2011,Beijing,Jiangsu,161311
2012,Beijing,Jiangsu,158422
2013,Beijing,Jiangsu,153729
2014,Beijing,Jiangsu,149693
2004,Beijing,Zhejiang,108933
2005,Beijing,Zhejiang,118512
2006,Beijing,Zhejiang,119310
2007,Beijing,Zhejiang,118879
2008,Beijing,Zhejiang,117801
2009,Beijing,Zhejiang,113233
2010,Beijing,Zhejiang,112114
2011,Beijing,Zhejiang,103426
2012,Beijing,Zhejiang,100677
2013,Beijing,Zhejiang,96778
2014,Beijing,Zhejiang,93292
2004,Beijing,Anhui,361457
2005,Beijing,Anhui,393243
2006,Beijing,Anhui,397454
2007,Beijing,Anhui,397823
2008,Beijing,Anhui,396324
2009,Beijing,Anhui,383367
2010,Beijing,Anhui,382481
2011,Beijing,Anhui,352050
2012,Beijing,Anhui,341868
2013,Beijing,Anhui,327773
2014,Beijing,Anhui,315081
2004,Beijing,Fujian,57492
2005,Beijing,Fujian,62548
2006,Beijing,Fujian,66864
2007,Beijing,Fujian,71131
2008,Beijing,Fujian,75739
2009,Beijing,Fujian,78825
2010,Beijing,Fujian,85283
2011,Beijing,Fujian,78736
2012,Beijing,Fujian,76709
2013,Beijing,Fujian,73805
2014,Beijing,Fujian,71216
2004,Beijing,Jiangxi,80187
2005,Beijing,Jiangxi,87238
2006,Beijing,Jiangxi,94245
2007,Beijing,Jiangxi,101334
2008,Beijing,Jiangxi,109074
2009,Beijing,Jiangxi,114771
2010,Beijing,Jiangxi,125565
2011,Beijing,Jiangxi,119319
2012,Beijing,Jiangxi,119785
2013,Beijing,Jiangxi,118902
2014,Beijing,Jiangxi,118522
2004,Beijing,Shandong,288010
2005,Beijing,Shandong,313337
2006,Beijing,Shandong,350521
2007,Beijing,Shandong,389850
2008,Beijing,Shandong,433623
2009,Beijing,Shandong,471046
2010,Beijing,Shandong,531562
2011,Beijing,Shandong,512310
2012,Beijing,Shandong,521593
2013,Beijing,Shandong,525044
2014,Beijing,Shandong,530709
2004,Beijing,Henan,506288
2005,Beijing,Henan,550810
2006,Beijing,Henan,606756
2007,Beijing,Henan,665024
2008,Beijing,Henan,729450
2009,Beijing,Henan,781942
2010,Beijing,Henan,871276
2011,Beijing,Henan,812094
2012,Beijing,Henan,799212
2013,Beijing,Henan,777241
2014,Beijing,Henan,758585
2004,Beijing,Hubei,186368
2005,Beijing,Hubei,202757
2006,Beijing,Hubei,219885
2007,Beijing,Hubei,237333
2008,Beijing,Hubei,256441
2009,Beijing,Hubei,270871
2010,Beijing,Hubei,297482
2011,Beijing,Hubei,274973
2012,Beijing,Hubei,268234
2013,Beijing,Hubei,258430
2014,Beijing,Hubei,249732
2004,Beijing,Hunan,82937
2005,Beijing,Hunan,90230
2006,Beijing,Hunan,98288
2007,Beijing,Hunan,106556
2008,Beijing,Hunan,115639
2009,Beijing,Hunan,122676
2010,Beijing,Hunan,135308
2011,Beijing,Hunan,126131
2012,Beijing,Hunan,124144
2013,Beijing,Hunan,120746
2014,Beijing,Hunan,117862
2004,Beijing,Guangdong,42912
2005,Beijing,Guangdong,46686
2006,Beijing,Guangdong,49802
2007,Beijing,Guangdong,52864
2008,Beijing,Guangdong,56164
2009,Beijing,Guangdong,58318
2010,Beijing,Guangdong,62947
2011,Beijing,Guangdong,59668
2012,Beijing,Guangdong,59751
2013,Beijing,Guangdong,59161
2014,Beijing,Guangdong,58821
2004,Beijing,Guangxi,16917
2005,Beijing,Guangxi,18405
2006,Beijing,Guangxi,20070
2007,Beijing,Guangxi,21781
2008,Beijing,Guangxi,23662
2009,Beijing,Guangxi,25127
2010,Beijing,Guangxi,27742
2011,Beijing,Guangxi,26707
2012,Beijing,Guangxi,27161
2013,Beijing,Guangxi,27312
2014,Beijing,Guangxi,27577
2004,Beijing,Hainan,3988
2005,Beijing,Hainan,4339
2006,Beijing,Hainan,4856
2007,Beijing,Hainan,5403
2008,Beijing,Hainan,6012
2009,Beijing,Hainan,6533
2010,Beijing,Hainan,7375
2011,Beijing,Hainan,7483
2012,Beijing,Hainan,7993
2013,Beijing,Hainan,8416
2014,Beijing,Hainan,8874
2004,Beijing,Chongqing,62719
2005,Beijing,Chongqing,68234
2006,Beijing,Chongqing,70427
2007,Beijing,Chongqing,72179
2008,Beijing,Chongqing,73863
2009,Beijing,Chongqing,73679
2010,Beijing,Chongqing,76172
2011,Beijing,Chongqing,78058
2012,Beijing,Chongqing,84111
2013,Beijing,Chongqing,89250
2014,Beijing,Chongqing,94759
2004,Beijing,Sichuan,268754
2005,Beijing,Sichuan,292388
2006,Beijing,Sichuan,296252
2007,Beijing,Sichuan,297372
2008,Beijing,Sichuan,297231
2009,Beijing,Sichuan,288632
2010,Beijing,Sichuan,289299
2011,Beijing,Sichuan,265237
2012,Beijing,Sichuan,256473
2013,Beijing,Sichuan,244766
2014,Beijing,Sichuan,234110
2004,Beijing,Guizhou,23657
2005,Beijing,Guizhou,25737
2006,Beijing,Guizhou,27441
2007,Beijing,Guizhou,29112
2008,Beijing,Guizhou,30912
2009,Beijing,Guizhou,32080
2010,Beijing,Guizhou,34606
2011,Beijing,Guizhou,34899
2012,Beijing,Guizhou,37076
2013,Beijing,Guizhou,38846
2014,Beijing,Guizhou,40779
2004,Beijing,Yunnan,11003
2005,Beijing,Yunnan,11971
2006,Beijing,Yunnan,14021
2007,Beijing,Yunnan,16249
2008,Beijing,Yunnan,18757
2009,Beijing,Yunnan,21075
2010,Beijing,Yunnan,24525
2011,Beijing,Yunnan,28209
2012,Beijing,Yunnan,33288
2013,Beijing,Yunnan,38020
2014,Beijing,Yunnan,42906
2004,Beijing,Tibet,413
2005,Beijing,Tibet,449
2006,Beijing,Tibet,587
2007,Beijing,Tibet,742
2008,Beijing,Tibet,918
2009,Beijing,Tibet,1092
2010,Beijing,Tibet,1333
2011,Beijing,Tibet,1319
2012,Beijing,Tibet,1376
2013,Beijing,Tibet,1419
2014,Beijing,Tibet,1467
2004,Beijing,Shaanxi,85275
2005,Beijing,Shaanxi,92774
2006,Beijing,Shaanxi,102136
2007,Beijing,Shaanxi,111880
2008,Beijing,Shaanxi,122650
2009,Beijing,Shaanxi,131405
2010,Beijing,Shaanxi,146341
2011,Beijing,Shaanxi,140220
2012,Beijing,Shaanxi,141940
2013,Beijing,Shaanxi,142069
2014,Beijing,Shaanxi,142798
2004,Beijing,Gansu,71934
2005,Beijing,Gansu,78260
2006,Beijing,Gansu,86748
2007,Beijing,Gansu,95648
2008,Beijing,Gansu,105518
2009,Beijing,Gansu,113737
2010,Beijing,Gansu,127405
2011,Beijing,Gansu,119945
2012,Beijing,Gansu,119275
2013,Beijing,Gansu,117256
2014,Beijing,Gansu,115735
2004,Beijing,Qinghai,7565
2005,Beijing,Qinghai,8230
2006,Beijing,Qinghai,8631
2007,Beijing,Qinghai,9000
2008,Beijing,Qinghai,9385
2009,Beijing,Qinghai,9555
2010,Beijing,Qinghai,10103
2011,Beijing,Qinghai,10092
2012,Beijing,Qinghai,10629
2013,Beijing,Qinghai,11049
2014,Beijing,Qinghai,11515
2004,Beijing,Ningxia,9628
2005,Beijing,Ningxia,10475
2006,Beijing,Ningxia,11433
2007,Beijing,Ningxia,12418
2008,Beijing,Ningxia,13503
2009,Beijing,Ningxia,14351
2010,Beijing,Ningxia,15858
2011,Beijing,Ningxia,16105
2012,Beijing,Ningxia,17218
2013,Beijing,Ningxia,18142
2014,Beijing,Ningxia,19142
2004,Beijing,Xinjiang,17192
2005,Beijing,Xinjiang,18704
2006,Beijing,Xinjiang,20946
2007,Beijing,Xinjiang,23320
2008,Beijing,Xinjiang,25963
2009,Beijing,Xinjiang,28229
2010,Beijing,Xinjiang,31883
2011,Beijing,Xinjiang,30346
2012,Beijing,Xinjiang,30514
2013,Beijing,Xinjiang,30338
2014,Beijing,Xinjiang,30291
2004,Chongqing,Beijing,1656
2005,Chongqing,Beijing,1945
2006,Chongqing,Beijing,2064
2007,Chongqing,Beijing,2141
2008,Chongqing,Beijing,2187
2009,Chongqing,Beijing,2148
2010,Chongqing,Beijing,2154
2011,Chongqing,Beijing,2420
2012,Chongqing,Beijing,2829
2013,Chongqing,Beijing,3230
2014,Chongqing,Beijing,3667
2004,Chongqing,Tianjin,382
2005,Chongqing,Tianjin,449
2006,Chongqing,Tianjin,561
2007,Chongqing,Tianjin,686
2008,Chongqing,Tianjin,829
2009,Chongqing,Tianjin,968
2010,Chongqing,Tianjin,1165
2011,Chongqing,Tianjin,1105
2012,Chongqing,Tianjin,1062
2013,Chongqing,Tianjin,957
2014,Chongqing,Tianjin,807
2004,Chongqing,Hebei,3058
2005,Chongqing,Hebei,3591
2006,Chongqing,Hebei,4237
2007,Chongqing,Hebei,4919
2008,Chongqing,Hebei,5667
2009,Chongqing,Hebei,6340
2010,Chongqing,Hebei,7333
2011,Chongqing,Hebei,7653
2012,Chongqing,Hebei,8281
2013,Chongqing,Hebei,8722
2014,Chongqing,Hebei,9095
2004,Chongqing,Shanxi,1147
2005,Chongqing,Shanxi,1347
2006,Chongqing,Shanxi,1775
2007,Chongqing,Shanxi,2266
2008,Chongqing,Shanxi,2835
2009,Chongqing,Shanxi,3412
2010,Chongqing,Shanxi,4212
2011,Chongqing,Shanxi,4532
2012,Chongqing,Shanxi,5071
2013,Chongqing,Shanxi,5540
2014,Chongqing,Shanxi,6014
2004,Chongqing,Neimenggu,382
2005,Chongqing,Neimenggu,449
2006,Chongqing,Neimenggu,849
2007,Chongqing,Neimenggu,1339
2008,Chongqing,Neimenggu,1930
2009,Chongqing,Neimenggu,2573
2010,Chongqing,Neimenggu,3433
2011,Chongqing,Neimenggu,3163
2012,Chongqing,Neimenggu,2911
2013,Chongqing,Neimenggu,2456
2014,Chongqing,Neimenggu,1834
2004,Chongqing,Liaoning,2039
2005,Chongqing,Liaoning,2394
2006,Chongqing,Liaoning,2570
2007,Chongqing,Liaoning,2702
2008,Chongqing,Liaoning,2803
2009,Chongqing,Liaoning,2806
2010,Chongqing,Liaoning,2881
2011,Chongqing,Liaoning,3023
2012,Chongqing,Liaoning,3291
2013,Chongqing,Liaoning,3490
2014,Chongqing,Liaoning,3667
2004,Chongqing,Jilin,637
2005,Chongqing,Jilin,748
2006,Chongqing,Jilin,960
2007,Chongqing,Jilin,1200
2008,Chongqing,Jilin,1476
2009,Chongqing,Jilin,1752
2010,Chongqing,Jilin,2137
2011,Chongqing,Jilin,2254
2012,Chongqing,Jilin,2468
2013,Chongqing,Jilin,2633
2014,Chongqing,Jilin,2787
2004,Chongqing,Heilongjiang,1402
2005,Chongqing,Heilongjiang,1646
2006,Chongqing,Heilongjiang,1877
2007,Chongqing,Heilongjiang,2108
2008,Chongqing,Heilongjiang,2350
2009,Chongqing,Heilongjiang,2546
2010,Chongqing,Heilongjiang,2852
2011,Chongqing,Heilongjiang,3202
2012,Chongqing,Heilongjiang,3740
2013,Chongqing,Heilongjiang,4267
2014,Chongqing,Heilongjiang,4841
2004,Chongqing,Shanghai,1529
2005,Chongqing,Shanghai,1796
2006,Chongqing,Shanghai,1869
2007,Chongqing,Shanghai,1893
2008,Chongqing,Shanghai,1878
2009,Chongqing,Shanghai,1777
2010,Chongqing,Shanghai,1697
2011,Chongqing,Shanghai,2753
2012,Chongqing,Shanghai,4175
2013,Chongqing,Shanghai,5824
2014,Chongqing,Shanghai,7774
2004,Chongqing,Jiangsu,3058
2005,Chongqing,Jiangsu,3591
2006,Chongqing,Jiangsu,4448
2007,Chongqing,Jiangsu,5398
2008,Chongqing,Jiangsu,6475
2009,Chongqing,Jiangsu,7517
2010,Chongqing,Jiangsu,8997
2011,Chongqing,Jiangsu,9718
2012,Chongqing,Jiangsu,10916
2013,Chongqing,Jiangsu,11974
2014,Chongqing,Jiangsu,13055
2004,Chongqing,Zhejiang,6626
2005,Chongqing,Zhejiang,7781
2006,Chongqing,Zhejiang,8937
2007,Chongqing,Zhejiang,10108
2008,Chongqing,Zhejiang,11351
2009,Chongqing,Zhejiang,12382
2010,Chongqing,Zhejiang,13975
2011,Chongqing,Zhejiang,16715
2012,Chongqing,Zhejiang,20681
2013,Chongqing,Zhejiang,24876
2014,Chongqing,Zhejiang,29630
2004,Chongqing,Anhui,5224
2005,Chongqing,Anhui,6135
2006,Chongqing,Anhui,6672
2007,Chongqing,Anhui,7120
2008,Chongqing,Anhui,7516
2009,Chongqing,Anhui,7675
2010,Chongqing,Anhui,8067
2011,Chongqing,Anhui,8439
2012,Chongqing,Anhui,9156
2013,Chongqing,Anhui,9672
2014,Chongqing,Anhui,10121
2004,Chongqing,Fujian,5352
2005,Chongqing,Fujian,6285
2006,Chongqing,Fujian,7292
2007,Chongqing,Fujian,8331
2008,Chongqing,Fujian,9449
2009,Chongqing,Fujian,10411
2010,Chongqing,Fujian,11866
2011,Chongqing,Fujian,13328
2012,Chongqing,Fujian,15572
2013,Chongqing,Fujian,17773
2014,Chongqing,Fujian,20169
2004,Chongqing,Jiangxi,5097
2005,Chongqing,Jiangxi,5985
2006,Chongqing,Jiangxi,6632
2007,Chongqing,Jiangxi,7226
2008,Chongqing,Jiangxi,7805
2009,Chongqing,Jiangxi,8175
2010,Chongqing,Jiangxi,8842
2011,Chongqing,Jiangxi,9564
2012,Chongqing,Jiangxi,10759
2013,Chongqing,Jiangxi,11820
2014,Chongqing,Jiangxi,12908
2004,Chongqing,Shandong,4205
2005,Chongqing,Shandong,4938
2006,Chongqing,Shandong,5593
2007,Chongqing,Shandong,6236
2008,Chongqing,Shandong,6901
2009,Chongqing,Shandong,7418
